10.1088215312,55.5578124356
10.1089449128,55.5580672888
10.1096369228,55.5581795451
10.1098246774,55.5582705635
10.1097120246,55.5586103635
10.1084674796,55.5585678887
10.108177801,55.5586892453
10.1080866059,55.55885611
10.1077110967,55.5588591438
10.1075823506,55.5591018548
10.1080812415,55.5592141082
10.1084889373,55.5596995242
10.1086820563,55.5605277516
10.1080222329,55.560724946
10.1060266694,55.5609191057
10.1059462031,55.5610647248
10.1033981046,55.5610283201
10.1033927402,55.5612346131
10.1056726178,55.56137113
10.1058711013,55.5615470843
10.1057745418,55.5617078695
10.105533143,55.5616987685
10.1036770543,55.56151068
10.1029314002,55.56151068
10.1026524505,55.5616016907
10.1028187474,55.5617109032
10.1028241119,55.5620385389
10.1033122739,55.5620446062
10.104648014,55.5620051687
10.1053990325,55.5620476398
10.1056672534,55.5621538175
10.1056243381,55.5623934745
10.1057316264,55.5627241381
10.1092614135,55.5629516573
10.1104898652,55.5630487317
10.1107473573,55.5635644358
10.1105756959,55.5642682092
10.1107795438,55.5647656966
10.1116271218,55.5648961343
10.1126624545,55.5651812758
10.1145453653,55.5655058491
10.1155753335,55.5658486199
10.1161815128,55.5662126211
10.1166804036,55.5663642872
10.1170344552,55.5664158536
10.1179785928,55.566828382
10.1184721192,55.5671104762
10.1216585836,55.5675897282
10.1217390498,55.5675472631
10.1222379407,55.5676291601
10.1223237714,55.5675745621
10.1242373189,55.5643319122
10.1151049337,55.5637318784
10.1149502,55.5616527192
10.1148160895,55.5580030315
10.1144219778,55.5548616785
10.1143580034,55.554581244
10.1131984683,55.5537670679
10.1099437733,55.5553501726
10.1069209853,55.556788481
10.1067392091,55.5568965905
10.1066704307,55.5569080317
10.1059057762,55.556413767
10.1055902046,55.5560133164
10.1054486019,55.5557890624
10.1042470021,55.5552604584
10.1032962413,55.5551140041
10.1028390669,55.5551757896
10.1010346443,55.5550224699
10.1009375453,55.5551483294
10.1022362441,55.5580132401
10.1026367774,55.5584136702
10.1030656312,55.5586241804
10.1065247822,55.557795862
10.1070143229,55.5574594957
10.1071963834,55.5572283851
10.1074593598,55.55711855
10.1077911147,55.5573061849
10.1078882136,55.5577089104
10.1078882136,55.5577889974
10.108770196,55.5577592508
