Name,Description,Latitude,Longitude
11,none,55.473467966377505,10.315963001582851
22,none,55.470932985447895,10.318455114871007
33,none,55.471453086377053,10.319926780514352
44,none,55.4709406323555,10.323486172552919
55,none,55.471536245445733,10.325650720799683
66,none,55.471726296608971,10.326142584661993
77,none,55.472101827394958,10.325770642896062
88,none,55.47339409132907,10.324085723210361
99,none,55.474399350465788,10.327069281291649
1010,none,55.475866177208829,10.332162005411082
1111,none,55.479920026421809,10.345716231106337
