Name,Description,Latitude,Longitude
1,none,55.557812435600006,10.1088215312
2,none,55.55806728879999,10.1089449128
3,none,55.558179545100003,10.1096369228
4,none,55.558270563500002,10.109824677400001
5,none,55.558610363500009,10.1097120246
6,none,55.558567888699997,10.108467479599998
7,none,55.558689245300009,10.108177800999998
8,none,55.558856110000015,10.108086605900001
9,none,55.558859143799999,10.107711096699999
10,none,55.559101854799991,10.1075823506
11,none,55.55921410820001,10.108081241500001
12,none,55.559699524199992,10.108488937299999
13,none,55.560527751599992,10.108682056299999
14,none,55.560724946000001,10.108022232900002
15,none,55.560919105700002,10.1060266694
16,none,55.561064724800005,10.105946203100002
17,none,55.561028320099986,10.1033981046
18,none,55.561234613099991,10.1033927402
19,none,55.561371129999991,10.1056726178
20,none,55.56154708430001,10.1058711013
21,none,55.561707869500012,10.105774541800001
22,none,55.561698768500015,10.105533143000001
23,none,55.561510679999991,10.103677054299999
24,none,55.561510679999991,10.102931400199999
25,none,55.561601690700002,10.102652450500001
26,none,55.561710903200002,10.102818747400001
27,none,55.562038538900005,10.1028241119
28,none,55.56204460619999,10.1033122739
29,none,55.562005168699997,10.104648014
30,none,55.562047639799999,10.105399032499999
31,none,55.562153817499997,10.1056672534
32,none,55.562393474500006,10.1056243381
33,none,55.562724138100016,10.105731626400001
34,none,55.562951657300005,10.109261413500001
35,none,55.563048731699993,10.1104898652
36,none,55.563564435800004,10.110747357299999
37,none,55.564268209200002,10.1105756959
38,none,55.564765696599991,10.1107795438
39,none,55.564896134299993,10.111627121799998
40,none,55.565181275799993,10.112662454500001
41,none,55.565505849099999,10.1145453653
42,none,55.565848619899995,10.115575333500001
43,none,55.566212621100007,10.116181512800001
44,none,55.566364287199995,10.116680403599998
45,none,55.566415853599992,10.117034455200001
46,none,55.566828381999983,10.1179785928
47,none,55.567110476200007,10.1184721192
48,none,55.567589728200019,10.121658583600002
49,none,55.567547263100003,10.1217390498
50,none,55.567629160099997,10.1222379407
51,none,55.567574562099985,10.1223237714
52,none,55.564331912199989,10.124237318900001
53,none,55.563731878399999,10.1151049337
54,none,55.561652719199984,10.114950199999999
55,none,55.5580030315,10.1148160895
56,none,55.554861678500011,10.114421977799999
57,none,55.554581244000005,10.1143580034
58,none,55.553767067899983,10.1131984683
59,none,55.555350172600001,10.109943773299999
60,none,55.556788481000005,10.1069209853
61,none,55.556896590500003,10.106739209100001
62,none,55.556908031699997,10.106670430699999
63,none,55.556413767000002,10.1059057762
64,none,55.556013316399998,10.1055902046
65,none,55.555789062399995,10.105448601899999
66,none,55.555260458399992,10.104247002099997
67,none,55.555114004099991,10.103296241300001
68,none,55.5551757896,10.1028390669
69,none,55.555022469900003,10.1010346443
70,none,55.555148329399984,10.100937545300001
71,none,55.55801324010001,10.1022362441
72,none,55.55841367019999,10.102636777400001
73,none,55.558624180400003,10.103065631199998
74,none,55.557795861999999,10.106524782199999
75,none,55.557459495700002,10.1070143229
76,none,55.557228385100004,10.1071963834
77,none,55.557118549999998,10.1074593598
78,none,55.557306184900007,10.107791114699999
79,none,55.557708910399988,10.107888213599999
80,none,55.557788997400003,10.107888213600001
81,none,55.557759250799997,10.108770196
